Masked_User_Id,1_11Score,1_12Score,2_14Score,2_15Score,3_17Score,3_18Score,1_11Grade,1_12Grade,2_14Grade,2_15Grade,3_17Grade,3_18Grade,Term,Repetitions,Dropped
stu579,5,5,4,0,4,4,2.3,3.35,3.05,2.9,2.3,3.7,201408,0,YES
stu580,,9,5,2,1,,,4,0,4,0,,201408,0,YES
stu586,3,3,11,6,5,3,3.9,3.9,2.8,3.35,3.4,4,201408,0,YES
stu587,3,14,8,10,4,-1,3,3.8,3.75,4,3.65,3.9,201408,0,NO
stu589,6,-2,2,7,2,3,1.55,1.95,2.35,2.75,1.7,2.05,201408,0,NO
stu591,3,,4,2,5,,3.3,,3.5,3.65,2.85,,201408,0,NO
stu599,6,12,1,6,7,10,3.1,3.9,2.3,3.05,2.4,3.4,201408,0,NO
stu605,5,1,-1,2,4,3,3.35,3.6,2.5,2.5,2.6,3.25,201408,0,NO
stu606,2,1,1,3,1,3,3.7,3.7,3.5,3.8,3.6,3.8,201408,0,NO
stu607,11,,14,0,2,0,3.1,,3.2,2.5,2.35,1.25,201408,0,NO
stu608,5,,7,,5,1,3.5,,3.45,,3,0,201408,0,NO
dstu41,,,,,,,,,,,,,201408,2,YES
stu610,3,7,10,10,0,7,3.4,3.55,2.7,3.4,2.6,3.1,201408,0,NO
stu618,0,-4,1,-4,-7,6,1.7,1.25,1.2,1.35,1.45,2.35,201408,0,NO
stu619,-2,1,7,-1,2,1,2.7,2.8,2,2.45,1.6,1.8,201408,0,NO
stu625,4,2,2,0,0,1,2.05,2.65,2.2,2.65,2.55,2.55,201408,0,NO
stu626,14,8,9,8,10,2,2.95,3.5,3.15,3.95,3.05,3.95,201408,0,NO
stu629,-1,1,2,-2,0,-1,2.3,2.35,2.8,3.25,2.25,2.25,201408,0,NO
stu635,27,16,12,6,12,21,3.2,3.8,3.75,3.85,3.6,4,201408,0,NO
stu638,7,2,18,1,11,3,0.9,3.05,3.05,2.4,2.4,0,201408,0,YES
stu639,8,15,12,11,18,22,1.15,2.85,2.9,3.65,3.25,3.65,201408,0,NO
stu641,,,,,0,1,,,,,2.4,3.2,201408,0,YES
stu643,10,8,14,-1,6,10,2.05,3.35,2.1,1,2.25,3.4,201408,0,NO
dstu42,,,,,,,,,,,,,201408,2,YES
stu646,15,5,5,,0,,2.65,3.3,1.45,,0,,201408,0,YES
stu647,6,5,4,6,7,3,2.05,2.3,3.25,3.1,3.45,3.85,201408,0,NO
stu648,3,1,1,-2,1,1,2.85,3.6,3.1,2.75,2.7,3,201408,0,NO
stu649,1,-1,8,0,12,,2.7,2.85,2.6,2.6,2.9,,201408,0,NO
stu650,2,1,2,1,2,0,1.15,2.35,3.25,3.65,3.2,3.85,201408,0,NO
stu652,2,0,-1,4,3,-1,3.5,3.5,1.35,2.95,3.4,0,201408,0,NO
stu653,7,1,-1,5,15,-1,1.7,1.7,1.7,1.7,1.65,2.3,201408,0,NO
dstu43,0,0,,,,,3.05,3.1,,,,,201408,2,NO
dstu44,,,,,,,,,,,,,201408,2,YES
stu660,7,2,8,0,5,0,3.75,3.95,3.5,3.95,3.3,3.95,201408,0,NO
stu661,8,-3,12,2,0,3,2.6,3.2,3.05,3.05,3.05,3.6,201408,0,NO
stu662,6,9,12,1,4,3,2.75,3.65,3.55,3.85,3.5,4,201408,0,NO
stu665,7,2,3,1,,5,1.75,1.75,2.4,2.35,,1.5,201408,0,YES
stu666,9,3,8,12,5,-1,2.4,2.45,1.7,2.25,3.45,2.65,201408,0,NO
stu668,0,-2,13,4,,,0,1.75,2.55,1.6,,,201408,0,YES
stu669,0,-3,,,,,2.2,2.3,,,,,201408,0,YES
stu671,1,,,,,,1.35,,,,,,201408,0,YES
stu672,2,0,7,-1,1,1,2.8,3.5,2.7,3.2,2.95,3,201408,0,NO
stu674,5,0,9,-1,3,2,1.5,1.65,2.15,2.05,2.35,2,201408,0,NO
stu679,0,1,12,11,15,6,2.8,3.1,1.9,3.15,3.5,3.5,201408,0,NO
stu685,-5,1,11,1,0,2,1,0,2.95,3.95,3.05,3,201408,0,NO
stu686,4,4,6,1,10,6,2.2,2.65,0.95,2,3,3.65,201408,0,NO
stu691,-1,-1,,2,3,3,0.55,2.65,,3,1.8,2.35,201408,0,NO
stu693,4,0,-1,1,2,6,2.75,2.85,2.75,3.15,2.55,2.6,201408,0,YES
